Address,Neighborhood,Price,Beds,Baths,Boro,Agency
"342 East 110th Street, Unit 8A",East Harlem,3000,1 Bed,1 Bath,Manhattan,Compass
"342 East 110th Street, Unit 8A",East Harlem,3000,1 Bed,1 Bath,Manhattan,Compass
"894 Riverside Drive, Unit 2I",Washington Heights,1800,1 Bed,1 Bath,Manhattan,Compass
"230 Riverside Drive, Unit 9B",Upper West Side,3500,1 Bed,1 Bath,Manhattan,Compass
"312 East 30th Street, Unit 14B",Kips Bay,6995,4 Beds,2 Baths,Manhattan,Compass
"15 Barrow Street, Unit 3",West Village,7370,1 Bed,2 Baths,Manhattan,Compass
"590 West 204th Street, Unit A45",Inwood,2200,2 Beds,1 Bath,Manhattan,Compass
"113 Elizabeth Street, Unit 4A",Little Italy,6495,3 Beds,2 Baths,Manhattan,Compass
"350 5th Avenue, Unit 4810",Midtown South,22517,Studio,1 Bath,Manhattan,Compass
"525 West 175th Street, Unit 55",Washington Heights,2100,2 Beds,1 Bath,Manhattan,Compass
"166 Perry Street, Unit 3B",West Village,11500,2 Beds,2 Baths,Manhattan,Compass
"752 Greenwich Street, Unit 2C",West Village,3350,1 Bed,1 Bath,Manhattan,Compass
"7 East 20th Street, Unit 10F",Flatiron,9500,2 Beds,2 Baths,Manhattan,Compass
"312 East 30th Street, Unit 11E",Kips Bay,5395,3 Beds,1 Bath,Manhattan,Compass
"115 Christopher Street, Unit PH",West Village,17500,2 Beds,2 Baths,Manhattan,Compass
"15 West 53rd Street, Unit 9C",Theater District,4400,1 Bed,1.5 Baths,Manhattan,Compass
"2285 Adam Clayton Powell Junior Boulevard, Unit 2N",Harlem,4500,4 Beds,2 Baths,Manhattan,Compass
"2 River Terrace, Unit 24E",Battery Park City,9995,2 Beds,2.5 Baths,Manhattan,Compass
"333 East 43rd Street, Unit 412",Midtown East,3300,1 Bed,1 Bath,Manhattan,Compass
"2 Magaw Place, Unit 52A",Washington Heights,2095,2 Beds,1 Bath,Manhattan,Compass
"30 Central Park South, Unit 7a",Central Park South,7500,3 Beds,2 Baths,Manhattan,Compass
"21 Downing Street, Unit 3",West Village,5500,1 Bed,1 Bath,Manhattan,Compass
"100 West 58th Street, Unit 13F",Theater District,5995,2 Beds,2 Baths,Manhattan,Compass
"1735 York Avenue, Unit PH2C",Upper East Side,11455,3 Beds,3 Baths,Manhattan,Compass
149 West 12th Street,West Village,3450,1 Bed,1 Bath,Manhattan,Compass
"715 Madison Avenue, Unit 5R",Upper East Side,3000,1 Bed,1 Bath,Manhattan,Compass
"252 7th Avenue, Unit 3Z",Chelsea,4995,1 Bed,1 Bath,Manhattan,Compass
"220 East 65th Street, Unit 17A",Upper East Side,3575,1 Bed,1 Bath,Manhattan,Compass
"31 Jane Street, Unit 3D",West Village,3750,1 Bed,1 Bath,Manhattan,Compass
"39 East 29th Street, Unit 12D",NoMad,4700,1 Bed,1 Bath,Manhattan,Compass
"126 East 83rd Street, Unit 2B",Upper East Side,1750,Studio,1 Bath,Manhattan,Compass
"510 East 85th Street, Unit 7A",Upper East Side,3200,1 Bed,1 Bath,Manhattan,Compass
"1735 York Avenue, Unit 30D",Upper East Side,3485,1 Bed,1 Bath,Manhattan,Compass
"73 Worth Street, Unit 3D",TriBeCa,12000,2 Beds,2 Baths,Manhattan,Compass
"475 West 146th Street, Unit Basement",Hamilton Heights,3200,Studio,1 Bath,Manhattan,Compass
"236 East 47th Street, Unit 21E",Midtown East,5500,2 Beds,2 Baths,Manhattan,Compass
"219 East 12th Street, Unit 1",East Village,5500,1 Bed,1 Bath,Manhattan,Compass
"62 West 62nd Street, Unit 16A",Upper West Side,6750,2 Beds,3 Baths,Manhattan,Compass
"245 West 25th Street, Unit 5E",Chelsea,6600,2 Beds,2 Baths,Manhattan,Compass
"97 Lexington Avenue, Unit 2B",Kips Bay,2000,Studio,1 Bath,Manhattan,Compass
"240 West End Avenue, Unit 12C",Upper West Side,4150,1 Bed,1 Bath,Manhattan,Compass
"245 West 25th Street, Unit 1K",Chelsea,4580,1 Bed,1 Bath,Manhattan,Compass
"79 West 127th Street, Unit 4B",Harlem,2250,1 Bed,1 Bath,Manhattan,Compass
"622 Greenwich Street, Unit 5F",West Village,9850,2 Beds,2 Baths,Manhattan,Compass
"1735 York Avenue, Unit 7H",Upper East Side,3985,1 Bed,1 Bath,Manhattan,Compass
"37 Walker Street, Unit 3/4",TriBeCa,15000,3 Beds,2.5 Baths,Manhattan,Compass
"2300 8th Avenue, Unit 10C",Harlem,6500,3 Beds,3.5 Baths,Manhattan,Compass
"245 West 25th Street, Unit 2F",Chelsea,5355,1 Bed,2 Baths,Manhattan,Compass
"75 Wall Street, Unit 19G",Financial District,3900,1 Bed,1.5 Baths,Manhattan,Compass
"446 West 44th Street, Unit 1",Hell's Kitchen,4700,2 Beds,1.5 Baths,Manhattan,Compass
349 West End Avenue,Upper West Side,4800,1 Bed,1 Bath,Manhattan,Compass
"54 East 7th Street, Unit 19",East Village,2400,1 Bed,1 Bath,Manhattan,Compass
"1735 York Avenue, Unit 5G",Upper East Side,4995,2 Beds,1.5 Baths,Manhattan,Compass
"128 East 84th Street, Unit 3B",Upper East Side,1800,Studio,1 Bath,Manhattan,Compass
"330 East 119th Street, Unit 1B",East Harlem,2475,1 Bed,1 Bath,Manhattan,Compass
"325 Lexington Avenue, Unit 23A",Murray Hill,4500,1 Bed,1 Bath,Manhattan,Compass
"328 West 19th Street, Unit 3C",Chelsea,4800,2 Beds,1 Bath,Manhattan,Compass
"435 East 76th Street, Unit 4D",Upper East Side,3100,1 Bed,1 Bath,Manhattan,Compass
"62 East 119th Street, Unit 3",East Harlem,2300,2 Beds,1 Bath,Manhattan,Compass
"50 Clinton Street, Unit 4A",Lower East Side,6300,2 Beds,2 Baths,Manhattan,Compass
"590 West 204th Street, Unit 1A",Inwood,2200,1 Bed,1.5 Baths,Manhattan,Compass
"413 East 78th Street, Unit PH",Upper East Side,11500,4 Beds,2 Baths,Manhattan,Compass
"16 West 19th Street, Unit 8C",Flatiron,5350,Studio,1 Bath,Manhattan,Compass
"133 West 22nd Street, Unit 8C",Chelsea,6100,1 Bed,1.5 Baths,Manhattan,Compass
"21 East 12th Street, Unit 5B",Greenwich Village,15000,2 Beds,2.5 Baths,Manhattan,Compass
"30 West Street, Unit 27D",Battery Park City,4495,1 Bed,1.5 Baths,Manhattan,Compass
"56 West 127th Street, Unit 3B",Harlem,3000,2 Beds,1 Bath,Manhattan,Compass
"252 South Street, Unit 20C",Lower East Side,4195,1 Bed,1 Bath,Manhattan,Compass
"135 West 118th Street, Unit 2",Harlem,2550,1 Bed,1 Bath,Manhattan,Compass
"425 East 13th Street, Unit 3C",East Village,7000,2 Beds,2 Baths,Manhattan,Compass
"754 East 6th Street, Unit 6B","Manhattan, NY 10009",3800,2 Beds,2 Baths,Manhattan,Compass
"28 East 130th Street, Unit 3A",East Harlem,2275,1 Bed,1 Bath,Manhattan,Compass
"245 West 25th Street, Unit 2C",Chelsea,4790,1 Bed,1 Bath,Manhattan,Compass
"101 Wall Street, Unit 10B",Financial District,7000,2 Beds,2.5 Baths,Manhattan,Compass
"634 Washington Street, Unit GA",West Village,14000,4 Beds,3 Baths,Manhattan,Compass
"522 West 29th Street, Unit 7D",Chelsea,28500,5 Beds,5 Baths,Manhattan,Compass
"413 East 78th Street, Unit 3FW",Upper East Side,2705,1 Bed,1 Bath,Manhattan,Compass
"550 West 45th Street, Unit 2012",Hell's Kitchen,3600,1 Bed,1 Bath,Manhattan,Compass
"40 St Marks Place, Unit 3",East Village,2400,1 Bed,1 Bath,Manhattan,Compass
"54 Thompson Street, Ofc 5",SoHo,44894,1 Bed,1 Bath,Manhattan,Compass
"157 West 57th Street, Unit 39F",Theater District,30000,3 Beds,3.5 Baths,Manhattan,Compass
1635 Lexington Avenue,East Harlem,2995,Studio,1 Bath,Manhattan,Compass
"845 United Nations Plaza, Unit 62A",Midtown East,14000,3 Beds,2.5 Baths,Manhattan,Compass
"550 West 45th Street, Unit 2411",Hell's Kitchen,3300,1 Bed,1 Bath,Manhattan,Compass
"410 West 24th Street, Unit 4M",Chelsea,4200,1 Bed,1 Bath,Manhattan,Compass
"148 East 40th Street, Unit CARRIAGE",Murray Hill,40000,Studio,1 Bath,Manhattan,Compass
"35 East 76th Street, Unit 3101",Upper East Side,90000,1 Bed,2 Baths,Manhattan,Compass
"35 East 76th Street, Unit 2209",Upper East Side,150000,2 Beds,2 Baths,Manhattan,Compass
"35 East 76th Street, Unit 1516",Upper East Side,27000,1 Bed,1.5 Baths,Manhattan,Compass
"35 East 76th Street, Unit 1504",Upper East Side,75000,1 Bed,1.5 Baths,Manhattan,Compass
"838 Greenwich St, Unit Penthouse C",West Village,6500,1 Bed,1.5 Baths,Manhattan,Compass
"55 Wall Street, Unit PH910F",Financial District,13995,3 Beds,2.5 Baths,Manhattan,Compass
"35 East 76th Street, Unit 1202",Upper East Side,75000,1 Bed,2 Baths,Manhattan,Compass
"35 East 76th Street, Unit 602",Upper East Side,66000,2 Beds,2 Baths,Manhattan,Compass
"35 East 76th Street, Unit 3006",Upper East Side,82500,2 Beds,2 Baths,Manhattan,Compass
"35 East 76th Street, Unit 3001",Upper East Side,150000,1 Bed,2 Baths,Manhattan,Compass
"35 East 76th Street, Unit 515",Upper East Side,63000,1 Bed,2 Baths,Manhattan,Compass
"35 East 76th Street, Unit 1706",Upper East Side,75000,1 Bed,1.5 Baths,Manhattan,Compass
"35 East 76th Street, Unit 1015",Upper East Side,75000,1 Bed,1.5 Baths,Manhattan,Compass
"35 East 76th Street, Unit 1506",Upper East Side,150000,2 Beds,2 Baths,Manhattan,Compass
"20 West 53rd Street, Unit 21B",Theater District,10000,1 Bed,1 Bath,Manhattan,Compass
"449 West 24th Street, Unit TRIPLEX",Chelsea,17950,3 Beds,2.5 Baths,Manhattan,Compass
"81 Irving Place, Unit 12D",Gramercy,7000,2 Beds,2 Baths,Manhattan,Compass
"100 Norfolk Street, Unit PHBC",Lower East Side,27500,4 Beds,4.5 Baths,Manhattan,Compass
"234 East 23rd Street, Unit 3B",Gramercy,5200,1 Bed,1 Bath,Manhattan,Compass
"115 East 90th Street, Unit 4E",Upper East Side,4995,2 Beds,1 Bath,Manhattan,Compass
"80 John Street, Unit 10A",Financial District,2850,Studio,1 Bath,Manhattan,Compass
"7 East 14th Street, Unit 623",Flatiron,2900,Studio,1 Bath,Manhattan,Compass
"301 East 79th Street, Unit 25R",Upper East Side,3000,1 Bed,1 Bath,Manhattan,Compass
"252 South Street, Unit 10K",Lower East Side,3845,1 Bed,1 Bath,Manhattan,Compass
"251 West 89th Street, Unit 5E",Upper West Side,3300,1 Bed,1 Bath,Manhattan,Compass
"144 East 36th Street, Unit 8B",Murray Hill,4500,2 Beds,1.5 Baths,Manhattan,Compass
"455 Main Street, Unit 3H",Roosevelt Island,3050,1 Bed,1 Bath,Manhattan,Compass
"949 Columbus Avenue, Unit 5",Upper West Side,3600,3 Beds,1 Bath,Manhattan,Compass
"7 East 14th Street, Unit 702",Flatiron,3750,1 Bed,1 Bath,Manhattan,Compass
"100 Norfolk Street, Unit PHC",Lower East Side,9500,2 Beds,2 Baths,Manhattan,Compass
"30 Park Place, Unit 68B",TriBeCa,29995,3 Beds,3.5 Baths,Manhattan,Compass
"322 West 57th Street, Unit 25HH",Hell's Kitchen,4950,1 Bed,1 Bath,Manhattan,Compass
"500 West 21st Street, Unit 3A",Chelsea,20950,3 Beds,3.5 Baths,Manhattan,Compass
"169 Spring Street, Unit 2E",SoHo,18000,3 Beds,3 Baths,Manhattan,Compass
"155 Franklin Street, Unit 4N",TriBeCa,30000,4 Beds,3 Baths,Manhattan,Compass
"312 West 90th Street, Unit 3B",Upper West Side,4700,2 Beds,2 Baths,Manhattan,Compass
"66 Madison Avenue, Unit 3BC",NoMad,5995,2 Beds,2 Baths,Manhattan,Compass
"115 4th Avenue, Unit 3F",Greenwich Village,12000,2 Beds,2 Baths,Manhattan,Compass
"45 East 25th Street, Unit 20A",Flatiron,4600,1 Bed,1 Bath,Manhattan,Compass
"241 East 76th Street, Unit 1B",Upper East Side,3000,1 Bed,1 Bath,Manhattan,Compass
"845 United Nations Plaza, Unit 24H",Midtown East,6800,2 Beds,2 Baths,Manhattan,Compass
"146 West 74th Street, Unit 2",Upper West Side,4995,2 Beds,1.5 Baths,Manhattan,Compass
"404 East 79th Street, Unit 23H",Upper East Side,5500,2 Beds,2 Baths,Manhattan,Compass
"20 West Street, Unit 44B",Financial District,3650,1 Bed,1 Bath,Manhattan,Compass
5 West 87th Street,Upper West Side,27000,5 Beds,4 Baths,Manhattan,Compass
"125 East 12th Street, Unit 1F",Greenwich Village,13995,4 Beds,2.5 Baths,Manhattan,Compass
"154 West 120th Street, Unit 2",Harlem,2800,1 Bed,1 Bath,Manhattan,Compass
"605 West 42nd Street, Unit 35E",Hell's Kitchen,3760,1 Bed,1 Bath,Manhattan,Compass
"366 Broadway, Unit PHC",TriBeCa,10995,2 Beds,2 Baths,Manhattan,Compass
"320 East 65th Street, Unit 422",Upper East Side,2460,Studio,1 Bath,Manhattan,Compass
"251 West 19th Street, Unit 1D",Chelsea,8000,2 Beds,2 Baths,Manhattan,Compass
"414 West 45th Street, Unit 3F",Hell's Kitchen,3500,1 Bed,1 Bath,Manhattan,Compass
"845 United Nations Plaza, Unit 18H",Midtown East,6795,2 Beds,2 Baths,Manhattan,Compass
"175 Franklin Street, Unit 4",TriBeCa,12500,2 Beds,2 Baths,Manhattan,Compass
"4 East 30th Street, Unit 4B",NoMad,3000,2 Beds,1 Bath,Manhattan,Compass
"1 Irving Place, Unit U11D",Gramercy,4900,1 Bed,1 Bath,Manhattan,Compass
"172 Madison Avenue, Unit 12A",Midtown South,8995,2 Beds,2.5 Baths,Manhattan,Compass
"414 West 45th Street, Unit 3R",Hell's Kitchen,4000,1 Bed,1.5 Baths,Manhattan,Compass
"1793 Amsterdam Avenue, Unit 6",Hamilton Heights,2280,2 Beds,2 Baths,Manhattan,Compass
"10 West End Avenue, Unit 8E",Upper West Side,3950,1 Bed,1 Bath,Manhattan,Compass
"301 East 61st Street, Unit 16A",Upper East Side,13995,3 Beds,3.5 Baths,Manhattan,Compass
"447 West 36th Street, Unit 2",Hudson Yards,9495,Studio,1 Bath,Manhattan,Compass
"165 Charles Street, Unit 3",West Village,5250,Studio,1 Bath,Manhattan,Compass
"2285 Adam Clayton Powell Junior Boulevard, Unit 3N",Harlem,4200,4 Beds,2 Baths,Manhattan,Compass
"411 East 53rd Street, Unit 2J",Midtown East,2700,1 Bed,1 Bath,Manhattan,Compass
138 Manhattan Avenue,Upper West Side,16995,5 Beds,3.5 Baths,Manhattan,Compass
"531 East 88th Street, Unit 1C",Upper East Side,2000,Studio,1 Bath,Manhattan,Compass
"310 Greenwich Street, Unit 39K",TriBeCa,6195,2 Beds,2 Baths,Manhattan,Compass
"330 East 119th Street, Unit 6B",East Harlem,2675,1 Bed,1 Bath,Manhattan,Compass
"23 West 88th Street, Unit 2F",Upper West Side,2600,Studio,1 Bath,Manhattan,Compass
120 Thompson Street,SoHo,2400,Studio,1 Bath,Manhattan,Compass
"530 Park Avenue, Unit 14D",Upper East Side,20495,3 Beds,3.5 Baths,Manhattan,Compass
"159 West 53rd Street, Unit 24A",Theater District,2900,1 Bed,1 Bath,Manhattan,Compass
"615 East 6th Street, Unit G",Chelsea,6495,3 Beds,2 Baths,Manhattan,Compass
"210 Forsyth Street, Unit 4",Lower East Side,6500,2 Beds,2 Baths,Manhattan,Compass
"60 East 96th Street, Unit 1B",Upper East Side,8700,3 Beds,2 Baths,Manhattan,Compass
"151 East 58th Street, Unit 34B",Midtown East,40000,4 Beds,3.5 Baths,Manhattan,Compass
"45 Tudor City Place, Unit 1012",Midtown East,2200,Studio,1 Bath,Manhattan,Compass
"1396 3rd Avenue, Unit 1B",Upper East Side,4900,2 Beds,1.5 Baths,Manhattan,Compass
"333 West 57th Street, Unit 305",Hell's Kitchen,5000,2 Beds,1 Bath,Manhattan,Compass
"10 Manhattan Avenue, Unit 2C",Upper West Side,5500,5 Beds,2 Baths,Manhattan,Compass
"350 West 50th Street, Unit 11E",Hell's Kitchen,4995,2 Beds,2 Baths,Manhattan,Compass
"35 West 15th Street, Unit 16A",Flatiron,20000,3 Beds,3.5 Baths,Manhattan,Compass
"134 West 13th Street, Unit TRIPLEX",West Village,21000,4 Beds,2.5 Baths,Manhattan,Compass
"270 West 17th Street, Unit 8E",Chelsea,4000,1 Bed,1 Bath,Manhattan,Compass
"150 West 56th Street, Unit 5403",Theater District,6000,2 Beds,2 Baths,Manhattan,Compass
"225 5th Avenue, Unit 2H",NoMad,6750,1 Bed,1 Bath,Manhattan,Compass
"133 West 22nd Street, Unit 3K",Chelsea,4500,1 Bed,1 Bath,Manhattan,Compass
"456 West 19th Street, Unit PenthouseH",Chelsea,30000,3 Beds,3.5 Baths,Manhattan,Compass
"16 East 18th Street, Unit 3",Flatiron,14500,3 Beds,3 Baths,Manhattan,Compass
"10 Charles Street, Unit 4B",West Village,6500,1 Bed,1.5 Baths,Manhattan,Compass
"293 East 10th Street, Unit 2",East Village,5450,3 Beds,1 Bath,Manhattan,Compass
"2259 Adam Clayton Powell Junior Boulevard, Unit 2E",Harlem,4300,4 Beds,2 Baths,Manhattan,Compass
"273 West 138th Street, Unit 3A",Harlem,2650,2 Beds,1 Bath,Manhattan,Compass
"35 West 33rd Street, Unit 30B",Midtown South,3208,Studio,1 Bath,Manhattan,Compass
"50 United Nations Plaza, Unit 10C",Midtown East,7995,2 Beds,2 Baths,Manhattan,Compass
"211 West 70th Street, Unit 3B",Upper West Side,2300,Studio,1 Bath,Manhattan,Compass
"470 West 24th Street, Unit 11A",Chelsea,5000,1 Bed,1 Bath,Manhattan,Compass
"306 West 48th Street, Unit 15A",Hell's Kitchen,4375,1 Bed,1 Bath,Manhattan,Compass
"84 Horatio Street, Unit 1B",West Village,3150,Studio,1 Bath,Manhattan,Compass
"312 West 101st Street, Unit 10",Upper West Side,2200,Studio,1 Bath,Manhattan,Compass
"332 Bowery, Unit 2R",NoHo,6500,1 Bed,1 Bath,Manhattan,Compass
"347 West 57th Street, Unit 22A",Hell's Kitchen,5600,2 Beds,2 Baths,Manhattan,Compass
12 Charles Lane,West Village,10995,2 Beds,2 Baths,Manhattan,Compass
"372 Central Park West, Unit 9JF",Upper West Side,3700,1 Bed,1 Bath,Manhattan,Compass
"425 East 13th Street, Unit 1A",East Village,5500,2 Beds,2 Baths,Manhattan,Compass
"176 West 87th Street, Unit 3C",Upper West Side,12750,2 Beds,2 Baths,Manhattan,Compass
"628-539 Lenox Avenue, Unit 4C",Harlem,3300,3 Beds,1 Bath,Manhattan,Compass
12 Ave A,"Manhattan, NY 10009",19500,4 Beds,4.5 Baths,Manhattan,Compass
"1 Irving Place, Unit P14FG",Gramercy,8900,3 Beds,2 Baths,Manhattan,Compass
230 East 62nd Street,Upper East Side,19750,4 Beds,5 Baths,Manhattan,Compass
"542 West 153rd Street, Unit 702",Hamilton Heights,4570,2 Beds,1 Bath,Manhattan,Compass
"340 West 17th Street, Unit 2A",Chelsea,2950,1 Bed,1 Bath,Manhattan,Compass
"66 West 38th Street, Unit 38E",Midtown South,3717,1 Bed,1 Bath,Manhattan,Compass
"196 Orchard Street, Unit 9E",Lower East Side,22000,3 Beds,3.5 Baths,Manhattan,Compass
"21 Downing Street, Unit 4",West Village,5900,1 Bed,1 Bath,Manhattan,Compass
"1627 Park Avenue, Unit 3A",East Harlem,2475,2 Beds,1 Bath,Manhattan,Compass
"14 West 14th Street, Unit 7B",Flatiron,5200,1 Bed,1 Bath,Manhattan,Compass
"339 East 82nd Street, Unit GARDEN",Upper East Side,3200,1 Bed,1 Bath,Manhattan,Compass
"475 Greenwich Street, Unit PHN",TriBeCa,25000,3 Beds,2.5 Baths,Manhattan,Compass
"241 Waverly Place, Unit 1",West Village,4800,1 Bed,1 Bath,Manhattan,Compass
"354 Broome Street, Unit 3H",NoLita,6750,1 Bed,2 Baths,Manhattan,Compass
"155 East 38th Street, Unit 12E",Murray Hill,3900,1 Bed,1 Bath,Manhattan,Compass
"236 East 78th Street, Unit 4B",Upper East Side,2250,Studio,1 Bath,Manhattan,Compass
"2172 2nd Avenue, Unit 3",East Harlem,2200,2 Beds,1 Bath,Manhattan,Compass
309 West 121st Street,Harlem,3900,3 Beds,2 Baths,Manhattan,Compass
"845 United Nations Plaza, Unit 62A",Midtown East,13500,2 Beds,2.5 Baths,Manhattan,Compass
"70 West 68th Street, Unit 4R",Upper West Side,2525,1 Bed,1 Bath,Manhattan,Compass
"200 East 32nd Street, Unit 19A",Kips Bay,3800,2 Beds,1 Bath,Manhattan,Compass
"147 West 142nd Street, Unit 5A",Harlem,2600,1 Bed,1 Bath,Manhattan,Compass
"159 West 53rd Street, Unit 26A",Theater District,3200,1 Bed,1 Bath,Manhattan,Compass
"145 East 22nd Street, Unit 1A",Gramercy,6350,3 Beds,2 Baths,Manhattan,Compass
"175 East 2nd Street, Unit GD",East Village,4200,Studio,1 Bath,Manhattan,Compass
"18 West 48th Street, Unit 19E",Theater District,5000,1 Bed,1.5 Baths,Manhattan,Compass
"145 East 22nd Street, Unit 1A",Gramercy,6350,3 Beds,2 Baths,Manhattan,Compass
"147 West 142nd Street, Unit 5A",Harlem,2600,1 Bed,1 Bath,Manhattan,Compass
"953 Columbus Avenue, Unit 1N",Upper West Side,2383,1 Bed,1 Bath,Manhattan,Compass
"2322 Adam Clayton Powell Junior Boulevard, Unit UNIT 5H",Harlem,3500,3 Beds,1.5 Baths,Manhattan,Compass
"145 West 117th Street, Unit 2",Harlem,2200,1 Bed,1 Bath,Manhattan,Compass
"166 Duane Street, Unit 3B",TriBeCa,22000,4 Beds,3.5 Baths,Manhattan,Compass
"160 Central Park South, Unit 3703",Central Park South,10000,1 Bed,1 Bath,Manhattan,Compass
"949 Columbus Avenue, Unit 8",Upper West Side,3200,3 Beds,1 Bath,Manhattan,Compass
"244 E 5th St, Unit Garden",East Village,5300,1 Bed,1 Bath,Manhattan,Compass
"225 5th Avenue, Unit 5S",NoMad,8700,2 Beds,2 Baths,Manhattan,Compass
"212 East 57th Street, Unit 9A",Midtown East,7500,2 Beds,2.5 Baths,Manhattan,Compass
"1485 5th Avenue, Unit 11G",East Harlem,2400,Studio,1 Bath,Manhattan,Compass
"330 East 119th Street, Unit 3C",East Harlem,2425,1 Bed,1 Bath,Manhattan,Compass
"205 West 54th Street, Unit 2E",Theater District,4000,2 Beds,2 Baths,Manhattan,Compass
"225 West 83rd Street, Unit 7I",Upper West Side,3900,1 Bed,1 Bath,Manhattan,Compass
"161 West 16th Street, Unit 11D",Chelsea,3300,Studio,1 Bath,Manhattan,Compass
"324 East 30th Street, Unit Ground Floor",Kips Bay,3200,Studio,1 Bath,Manhattan,Compass
"2056 5th Avenue, Unit 2B",Harlem,5995,3 Beds,2.5 Baths,Manhattan,Compass
"39 Christopher Street, Unit 1B",West Village,2995,1 Bed,1 Bath,Manhattan,Compass
"88 Greenwich Street, Unit 3203",Financial District,2800,Studio,1 Bath,Manhattan,Compass
"17 Convent Avenue, Unit 3D",Morningside Heights,3100,1 Bed,1 Bath,Manhattan,Compass
"129 Grand Street, Unit 3",SoHo,18000,3 Beds,2.5 Baths,Manhattan,Compass
"845 United Nations Plaza, Unit 78C",Midtown East,22500,3 Beds,3.5 Baths,Manhattan,Compass
"4 West 21st Street, Unit 14A",Flatiron,8500,2 Beds,2 Baths,Manhattan,Compass
"128 West 13th Street, Unit 31",West Village,3229,1 Bed,1 Bath,Manhattan,Compass
900 Park Avenue,Upper East Side,13980,3 Beds,3.5 Baths,Manhattan,Compass
"51 West 81st Street, Unit 8D",Upper West Side,5750,2 Beds,2 Baths,Manhattan,Compass
